voter,party,color
963256,SP,#FF0000
963647,SP,#FF0000
964510,SP,#FF0000
969891,SVP,#4F7942
970786,FDP,#0000FF
973793,GLP,#32CD32
975600,SVP,#4F7942
976134,Grüne,#008000
977300,SP,#FF0000
978631,FDP,#0000FF
979086,GLP,#32CD32
980182,Grüne,#008000
982097,SVP,#4F7942
985646,SP,#FF0000
990365,SVP,#4F7942
990375,GLP,#32CD32
994099,Sonstige,#888888
995001,SVP,#4F7942
998795,EVP,#FFA500
1000077,SVP,#4F7942
1002106,SP,#FF0000
1004337,GLP,#32CD32
1006538,Mitte,#C56C46
1007111,FDP,#0000FF
1007988,Grüne,#008000
1007997,GLP,#32CD32
1009939,SP,#FF0000
1010310,FDP,#0000FF
1011860,SP,#FF0000
1012322,SVP,#4F7942
1012358,SP,#FF0000
1014046,SP,#FF0000
1016440,Mitte,#C56C46
1017320,SVP,#4F7942
1019148,SVP,#4F7942
1019229,SP,#FF0000
1020141,SP,#FF0000
1020900,SVP,#4F7942
1026571,EVP,#FFA500
1027483,SP,#FF0000
1027955,SP,#FF0000
1031791,GLP,#32CD32
1034056,FDP,#0000FF
1035573,SVP,#4F7942
1036477,EDU,#00008B
1037685,SP,#FF0000
1039268,FDP,#0000FF
1039634,Grüne,#008000
1040028,FDP,#0000FF
1040203,GLP,#32CD32
1042200,SP,#FF0000
1042295,SVP,#4F7942
1045766,SP,#FF0000
1047579,Sonstige,#888888
1048062,SP,#FF0000
1048089,GLP,#32CD32
1049386,SVP,#4F7942
1049698,SVP,#4F7942
1049832,Mitte,#C56C46
1051030,SP,#FF0000
1051490,Mitte,#C56C46
1052438,SP,#FF0000
1052588,SP,#FF0000
1052779,Mitte,#C56C46
1053598,GLP,#32CD32
1056676,SVP,#4F7942
1057887,FDP,#0000FF
1057988,Sonstige,#888888
1059037,Sonstige,#888888
1059966,SVP,#4F7942
1062707,SP,#FF0000
1063835,FDP,#0000FF
1066279,Mitte,#C56C46
1066290,SP,#FF0000
1068975,GLP,#32CD32
1069507,SP,#FF0000
1069633,Grüne,#008000
1070003,FDP,#0000FF
1070250,EDU,#00008B
1070527,SP,#FF0000
1072765,SVP,#4F7942
1074282,SVP,#4F7942
1084884,GLP,#32CD32
1084938,FDP,#0000FF
1092385,FDP,#0000FF
1093736,FDP,#0000FF
1095193,Mitte,#C56C46
1096437,SP,#FF0000
1098379,GLP,#32CD32
1099535,GLP,#32CD32
1105498,SVP,#4F7942
1108954,GLP,#32CD32
1111116,FDP,#0000FF
1113138,Mitte,#C56C46
1114169,Sonstige,#888888
1114685,FDP,#0000FF
1116217,SP,#FF0000
1116401,Grüne,#008000
1118648,SP,#FF0000
1120317,FDP,#0000FF
1124467,GLP,#32CD32
1125046,SVP,#4F7942
1125285,FDP,#0000FF
1130573,Grüne,#008000
1131096,FDP,#0000FF
1132731,Sonstige,#888888
1135512,SP,#FF0000
1136452,EVP,#FFA500
1136591,Grüne,#008000
1137748,SVP,#4F7942
1137860,FDP,#0000FF
1138167,Mitte,#C56C46
1142334,SP,#FF0000
1147899,Grüne,#008000
1148669,GLP,#32CD32
1148913,GLP,#32CD32
1151593,SVP,#4F7942
1154013,FDP,#0000FF
1156700,Grüne,#008000
1157156,FDP,#0000FF
1158604,SP,#FF0000
