respondentId,party,color
9738,DK,#6b8e57
9739,IS,#2ca02c
9740,LT,#6e7a64
9741,FI,#2b8384
9742,RO,#b06e48
9743,AT,#ae8648
9744,GE,#c43d39
9745,FI,#2b8384
9746,NL,#8c974b
9747,DK,#6b8e57
9748,DK,#6b8e57
9749,BG,#c66a3e
9750,RU,#61667a
9751,GB,#7fa047
9752,IS,#2ca02c
9753,DE,#918e4e
9754,GB,#7fa047
9755,FR,#b49f44
9756,PL,#867f57
9757,IT,#ce893f
9758,AL,#d87539
9759,GE,#c43d39
9760,NO,#3d8e61
9761,FR,#b49f44
9762,IT,#ce893f
9763,PT,#f8bf3f
9764,PL,#867f57
9765,BG,#c66a3e
9766,GB,#7fa047
9767,LT,#6e7a64
9768,CH,#b19246
9769,NL,#8c974b
9770,HU,#ac7c49
9771,CH,#b19246
9772,IT,#ce893f
9773,FI,#2b8384
9774,NL,#8c974b
9775,NO,#3d8e61
9776,AZ,#cf2a2d
9777,SI,#b58346
9778,AZ,#cf2a2d
9779,SK,#9d7d4f
9780,HR,#bc8144
9781,AM,#d1322e
9782,FI,#2b8384
9783,NL,#8c974b
9784,BA,#c37c41
9785,GB,#7fa047
9786,AM,#d1322e
9787,HR,#bc8144
9788,BG,#c66a3e
9789,AM,#d1322e
9790,RO,#b06e48
9791,CH,#b19246
9792,NO,#3d8e61
9793,RU,#61667a
9794,CZ,#97854f
9795,AM,#d1322e
9796,NO,#3d8e61
9797,FI,#2b8384
9798,NO,#3d8e61
9799,BY,#7b7261
9800,DK,#6b8e57
9801,AL,#d87539
9802,CH,#b19246
9803,DK,#6b8e57
9804,AZ,#cf2a2d
9805,DK,#6b8e57
9806,ES,#eeb33e
9807,IS,#2ca02c
9808,HR,#bc8144
9809,DE,#918e4e
9810,HU,#ac7c49
9811,DE,#918e4e
9812,DK,#6b8e57
9813,HU,#ac7c49
9814,NL,#8c974b
9815,ME,#d1783c
9816,BA,#c37c41
9817,DK,#6b8e57
9818,IS,#2ca02c
9819,SE,#3c8a6a
9820,GB,#7fa047
9821,SK,#9d7d4f
9822,FI,#2b8384
9823,EE,#507d73
9824,SK,#9d7d4f
9825,ES,#eeb33e
9826,CH,#b19246
9827,FR,#b49f44
9828,GE,#c43d39
9829,CH,#b19246
9830,SK,#9d7d4f
9831,SK,#9d7d4f
9832,IT,#ce893f
9833,EE,#507d73
9834,IS,#2ca02c
9835,CH,#b19246
9836,ME,#d1783c
9837,DE,#918e4e
9838,LT,#6e7a64
9839,DK,#6b8e57
9840,DK,#6b8e57
9841,CZ,#97854f
9842,CH,#b19246
9843,IT,#ce893f
9844,AL,#d87539
9845,CH,#b19246
9846,CH,#b19246
9847,BA,#c37c41
9848,PT,#f8bf3f
9849,SK,#9d7d4f
9850,NL,#8c974b
9851,SE,#3c8a6a
9852,DK,#6b8e57
9853,NO,#3d8e61
9854,RU,#61667a
9855,DE,#918e4e
9856,BY,#7b7261
9857,CH,#b19246
9858,IS,#2ca02c
9859,DK,#6b8e57
9860,GE,#c43d39
9861,CH,#b19246
9862,NL,#8c974b
9863,CZ,#97854f
9864,AZ,#cf2a2d
9865,GE,#c43d39
9866,PL,#867f57
9867,FR,#b49f44
9868,GE,#c43d39
9869,RS,#c17541
9870,AL,#d87539
9871,CH,#b19246
9872,GE,#c43d39
9873,CH,#b19246
9874,IS,#2ca02c
9875,AZ,#cf2a2d
9876,GB,#7fa047
9877,GE,#c43d39
9878,GB,#7fa047
9879,AZ,#cf2a2d
9880,FI,#2b8384
9881,NO,#3d8e61
9882,GE,#c43d39
9883,NL,#8c974b
9884,NL,#8c974b
9885,IS,#2ca02c
9886,IT,#ce893f
9887,MK,#d0733c
9888,DK,#6b8e57
9889,IS,#2ca02c
9890,FR,#b49f44
9891,SI,#b58346
9892,RO,#b06e48
9893,ES,#eeb33e
9894,IS,#2ca02c
